"X"                  "Y"
3.957154746371181    1.
3.882577076826239    1.071381351161308
3.6238983183884765   1.3754930275750752
3.6208265007616434   1.3785601259163476
3.6196576497395077   1.3797296614612147
3.241144964395193    1.7025914734174468
3.056560036133008    1.9036539387158782
2.8678823439487675   2.07858280071439
2.6265278044037665   2.3466292526126775
2.4826371016752384   2.4826371016752384
2.3466292526126775   2.6265278044037665
2.07858280071439     2.8678823439487675
1.9036539387158782   3.056560036133008
1.7025914734174468   3.241144964395193
1.3797296614612147   3.6196576497395077
1.3785601259163476   3.6208265007616434
1.3754930275750752   3.6238983183884765
1.071381351161308    3.882577076826239
1.                   3.957154746371181
