"X"                  "Y"                  "X-Y"                 "X+Y"
3.957154746371181    1.                   3.                    5.
3.882577076826239    1.071381351161308    2.83732268500982      5.
3.6238983183884765   1.3754930275750752   2.247796636776953     5.
3.6208265007616434   1.3785601259163476   2.242541477868501     5.
3.6196576497395077   1.3797296614612147   2.240540677077571     5.000000000000001
3.241144964395193    1.7025914734174468   1.5560634252363992    5.
3.056560036133008    1.9036539387158782   1.1926921225682436    5.
2.8678823439487675   2.07858280071439     0.7978420146010425    5.
2.6265278044037665   2.3466292526126775   0.2530556088075331    5.
2.4826371016752384   2.4826371016752384   0.                    5.
2.3466292526126775   2.6265278044037665   -0.2530556088075331   5.
2.07858280071439     2.8678823439487675   -0.7978420146010425   5.
1.9036539387158782   3.056560036133008    -1.1926921225682436   5.
1.7025914734174468   3.241144964395193    -1.5560634252363992   5.
1.3797296614612147   3.6196576497395077   -2.240540677077571    5.000000000000001
1.3785601259163476   3.6208265007616434   -2.242541477868501    5.
1.3754930275750752   3.6238983183884765   -2.247796636776953    5.
1.071381351161308    3.882577076826239    -2.8373226850098203   5.
1.                   3.957154746371181    -3.                   5.
